,name,value,carbon_date,region
142,Namibia,3831000.0,2019,Africa
143,Albania,3794000.0,2019,Europe
144,Gaza Strip,3341000.0,2019,Middle East
145,West Bank,3341000.0,2019,Middle East
146,Iceland,3337000.0,2019,Europe
147,Haiti,3139000.0,2019,Central America and the Caribbean
148,Guinea,2981000.0,2019,Africa
149,Guyana,2743000.0,2019,South America
150,"Congo, Democratic Republic of the",2653000.0,2019,Africa
151,Gabon,2651000.0,2019,Africa
152,Montenegro,2447000.0,2019,Europe
153,Virgin Islands,2438000.0,2019,Central America and the Caribbean
154,Niger,2374000.0,2019,Africa
155,Suriname,2372000.0,2019,South America
156,Maldives,2286000.0,2019,South Asia
157,Togo,2244000.0,2019,Africa
158,Macau,2012000.0,2019,East and Southeast Asia
159,Guam,1828000.0,2019,Australia and Oceania
160,South Sudan,1778000.0,2019,Africa
161,Chad,1771000.0,2019,Africa
162,Barbados,1703000.0,2019,Central America and the Caribbean
163,Fiji,1691000.0,2019,Australia and Oceania
164,Malawi,1542000.0,2019,Africa
165,Liberia,1346000.0,2019,Africa
166,Wake Island,1275000.0,2019,Australia and Oceania
167,Aruba,1254000.0,2019,Central America and the Caribbean
168,Eswatini,1224000.0,2019,Africa
169,Rwanda,1189000.0,2019,Africa
170,Seychelles,1156000.0,2019,Africa
171,French Polynesia,1030000.0,2019,Australia and Oceania
172,Cabo Verde,1002000.0,2019,Africa
173,Bhutan,934000.0,2019,South Asia
174,Sierra Leone,899000.0,2019,Africa
175,Somalia,882000.0,2019,Africa
176,Faroe Islands,870000.0,2019,Europe
177,Cayman Islands,808000.0,2019,Central America and the Caribbean
178,Eritrea,798000.0,2019,Africa
179,Bermuda,796000.0,2019,North America
180,Lesotho,736000.0,2019,Africa
181,Antigua and Barbuda,729000.0,2019,Central America and the Caribbean
182,Burundi,715000.0,2019,Africa
183,Saint Lucia,659000.0,2019,Central America and the Caribbean
184,Djibouti,610000.0,2019,Africa
185,"Gambia, The",606000.0,2019,Africa
186,Greenland,605000.0,2019,North America
187,Belize,541000.0,2019,Central America and the Caribbean
188,Timor-Leste,538000.0,2019,East and Southeast Asia
189,Jersey,450000.0,2012,Europe
190,American Samoa,355000.0,2019,Australia and Oceania
191,Samoa,355000.0,2019,Australia and Oceania
192,Guinea-Bissau,342000.0,2019,Africa
193,Solomon Islands,333000.0,2019,Australia and Oceania
194,Comoros,326000.0,2019,Africa
195,Grenada,316000.0,2019,Central America and the Caribbean
196,Marshall Islands,293700.0,2017,Australia and Oceania
197,Central African Republic,285000.0,2019,Africa
198,Saint Kitts and Nevis,268000.0,2019,Central America and the Caribbean
199,Turks and Caicos Islands,245000.0,2019,Central America and the Caribbean
200,Vanuatu,225000.0,2019,Australia and Oceania
201,Saint Vincent and the Grenadines,202000.0,2019,Central America and the Caribbean
202,Dominica,182000.0,2019,Central America and the Caribbean
